Coal Mine Owner,Coal Mine Owner ABBRV,Coal/Lignite,Country,District Name,Govt Owned/Private,Latitude,Longitude,Mine Name,Mine Type,SL No.,State,Production
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.74128,86.35299,MUUDIDIH,UG,92,Jharkhand,0.01
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7416,86.3861,BHAGABAND,UG,93,Jharkhand,0.02
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7553,86.3633,"P, B. PROJECT",UG,94,Jharkhand,0.02
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7556,86.3759,KB 10/12 PITS UG,UG,95,Jharkhand,0.003
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7634,86.4163,BASTACOLLA,UG,96,Jharkhand,0.13
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.688,86.399,"BHOWRAH(NORTH)
COLLIERY",UG,97,Jharkhand,0.01
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.741,86.3527,MOONIDIH PROJECT,UG,98,Jharkhand,0.53
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.808,86.2389,MURAIDIH,OC,99,Jharkhand,1.04
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.75722302,86.79445561,AMALGAMATED BOCP MINE,OC,100,Jharkhand,1.65
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.80105166,86.27696513,"AMALGAMTED BLOCK-IV GOVINDPUR
COLLIERY(ABGC)",OC,101,Jharkhand,0.58
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7917,86.3444,NICHITPUR,OC,102,Jharkhand,0.61
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7875,86.3472,SENDRA BANSJORA,OC,103,Jharkhand,1.17
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.775,86.3417,KANKANEE,OC,104,Jharkhand,0.38
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.725,86.3625,BANSDEOPUR,OC,105,Jharkhand,0.03
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7979,86.3694,E. BASSURIYA,OC,106,Jharkhand,0.54
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.77445398,86.41349435,"AMALGAMATED DHANSAR. INOUSTRY.
COLLIERY",OC,107,Jharkhand,0.83
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7568,86.4094,ENA,OC,108,Jharkhand,1.67
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7371,86.3744,KENDUADIH,OC,109,Jharkhand,0.13
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.75592983,86.42099724,ROCP,OC,110,Jharkhand,2.23
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7028,86.4403,"AMALGAMATEO N.T.S.T. JEENAGORA
COLLIERY",OC,111,Jharkhand,2.54
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.667,86.432,AMALGAMATEO SUDAMDIH. PATHERDIH COLLIERY,OC,112,Jharkhand,0.18
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.725,86.7465,BASANTIMATA-DAHIBARI COLLIERY,OC,113,Jharkhand,0.78
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.80983994,86.29179139,AGKCC,OC,114,Jharkhand,0.16
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.782,86.2229,PHULARITAND,Mixed,115,Jharkhand,2.68
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.8079,86.2843,"NEW AKASH KINAREE COLLY
(NAKC)",Mixed,116,Jharkhand,1.2
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.8078,86.3221,"AMALGAMATED KESHALPUR
WEST MUDIDIH COLLIERY
(AKWMC)",Mixed,117,Jharkhand,4.22
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.8034,86.345,TETULMARI,Mixed,118,Jharkhand,0.67
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7885552,86.39191249,"NEW GODHUR. KUSUNDA
COLLIERY",Mixed,119,Jharkhand,0.95
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.804,86.3773,"GONDUDIH KHAS KUSUNDU
COLLY",Mixed,120,Jharkhand,0.24
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.75483766,86.36436018,GOPALICHUCK,Mixed,121,Jharkhand,0.01
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7363,86.4498,KUYA /KOCP,Mixed,122,Jharkhand,1.922
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.6821,86.4007,BHOWRA(SOUTH) COLLIERY,Mixed,123,Jharkhand,0.32
Tata Steel Limited,TSL,Coal,India,Dhanbad,Private,23.7079,86.4002,Jharia Division,OC,124,Jharkhand,1.243
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.6523,85.3598,BHURKUNDA UG,UG,125,Jharkhand,0.04
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.6572,85.3653,BHURKUNDA OC,OC,126,Jharkhand,0.68
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.6625,85.3347,SAUNDA,UG,127,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.6716,85.3472,C. SAUNDA,UG,128,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7507,85.5833,SIRKA,OC,129,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.71,85.5518,SARUBERA/CHAINPUR,OC,130,Jharkhand,0.01
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7414,85.5555,ARA,OC,131,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.6505,85.5659,KARMA,OC,132,Jharkhand,0.49
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.8236,85.5218,PUNDI,OC,133,Jharkhand,0.03
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7474,85.5094,KUJU,OC,134,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7379,85.4807,TOPA,OC,135,Jharkhand,1.2
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7602,85.505,HESAGARA,OC,136,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.803,85.5951,KEDLA UG,UG,137,Jharkhand,0.02
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7903,85.6253,LAIYO,UG,138,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7983,85.5792,KEDLA OC,OC,139,Jharkhand,0.01
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.7389,85.5389,PAREJ EAST,OC,140,Jharkhand,0.59
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.79961296,85.60716063,JHARKHAND,OC,141,Jharkhand,0.91
Central Coalfields Limited,CCL,Coal,India,Ramgarh,Government,23.621,85.6878,RAJRAPPA,OC,142,Jharkhand,1.4
Tata Steel Limited,TSL,Coal,India,Ramgarh,Private,23.7927473,85.55423096,West Bokaro (CAPTIVE),OC,143,Jharkhand,5.303
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.6939,85.3108,URIMARI,UG,144,Jharkhand,0.01
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.6931,85.3132,URIMARI,OC,145,Jharkhand,1.04
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.6994,85.2975,N. URIMARI(BIRSA),OC,146,Jharkhand,2.82
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.6833,85.3583,GIDI 'A',OC,147,Jharkhand,0.11
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.6967,85.3958,GIDI 'C',OC,148,Jharkhand,0.42
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.8617,85.5569,RELIGARA,OC,149,Jharkhand,1.4
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.8306,85.5028,TAPIN,OC,150,Jharkhand,0.5
Central Coalfields Limited,CCL,Coal,India,Hazaribagh,Government,23.8329,85.4729,TAPIN SOUTH,OC,151,Jharkhand,0.32
NTPC Limited,NTPC,Coal,India,Hazaribagh,Government,23.915,85.1708,Pakri Barwadih Coal Mine Project (CAPTIVE),OC,152,Jharkhand,9.42
Hindalco Industries Limited,HIL,Coal,India,Hazaribagh,Private,23.9049,85.0815,Dumri Coal mine (CAPTIVE),OC,153,Jharkhand,0
Damodar Valley Corporation,DVC,Coal,India,Bokaro,Government,23.7843,85.9634,Bermo coal mine (CAPTIVE),OC,154,Jharkhand,0.047
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.80210466,85.87116633,GOVINDPUR,UG,155,Jharkhand,0.06
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.471,85.5838,KARO SPL,UG,156,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.774,86.0144,DHORI KHAS,UG,157,Jharkhand,0.1
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.764,85.865,KATHARA,OC,158,Jharkhand,0.13
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.795,86.4122,JARANGDIH,OC,159,Jharkhand,0.88
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.8056,85.8694,GOVINDPUR PH.II,OC,160,Jharkhand,1.84
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.79102905,85.97790654,BOKARO,OC,161,Jharkhand,0.21
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.4702,85.5727,KARO - I,OC,162,Jharkhand,3.27
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.7699,85.9904,KARGALI,OC,163,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.7905,85.9198,AKK OCP,OC,164,Jharkhand,4.45
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.76663448,85.98552098,A A D OCM,OC,165,Jharkhand,1.43
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.775,85.5417,SEL. DHORI,OC,166,Jharkhand,2.22
Central Coalfields Limited,CCL,Coal,India,Bokaro,Government,23.7681,85.5542,TARMI,OC,167,Jharkhand,0.46
Central Coalfields Limited,CCL,Coal,India,Giridih,Government,24.1572,86.3006,KABRIBAD,OC,168,Jharkhand,0
Central Coalfields Limited,CCL,Coal,India,Giridih,Government,24.1914,86.2996,GIRIDIH,OC,169,Jharkhand,0.13
Central Coalfields Limited,CCL,Coal,India,Ranchi,Government,23.6786,85.0456,CHURI,UG,170,Jharkhand,0.48
Central Coalfields Limited,CCL,Coal,India,Ranchi,Government,23.6582,85.0166,DAKRA,OC,171,Jharkhand,0.51
Central Coalfields Limited,CCL,Coal,India,Ranchi,Government,23.6779,84.9971,KDH,OC,172,Jharkhand,0.59
Central Coalfields Limited,CCL,Coal,India,Ranchi,Government,23.6917,84.9903,ROHINI,OC,173,Jharkhand,2.94
Central Coalfields Limited,CCL,Coal,India,Chatra,Government,23.7083,84.9861,PURNADIH,OC,174,Jharkhand,2.02
Central Coalfields Limited,CCL,Coal,India,Chatra,Government,23.7225,85.0485,PIPARWAR,OC,175,Jharkhand,4.32
Central Coalfields Limited,CCL,Coal,India,Chatra,Government,23.7297,84.9932,ASHOKA,OC,176,Jharkhand,10.52
Central Coalfields Limited,CCL,Coal,India,Chatra,Government,23.8763,85.0183,AMRAPALI,OC,177,Jharkhand,12.79
Central Coalfields Limited,CCL,Coal,India,Latehar,Government,23.8413092,84.9883032,MAGADH,OC,178,Jharkhand,5.21
Central Coalfields Limited,CCL,Coal,India,Latehar,Government,23.809,84.8458,TETARIA KHAR,OC,179,Jharkhand,1.17
Jharkhand State Mineral Development Corporation Limited,JSMDCL,Coal,India,Latehar,State Government,23.7231,84.6125,Sikni Coal Project (CAPTIVE),OC,180,Jharkhand,0.228
Hindalco Industries Limited,HIL,Coal,India,Palamu,Private,24.1325,84.0881,Kathautia Open Cast Mine (CAPTIVE),OC,181,Jharkhand,0.798
Central Coalfields Limited,CCL,Coal,India,Palamu,Government,24.1642,84.0465,RAJHARA,OC,182,Jharkhand,0.01
West Bengal Power Development Corporation,WBPDCL,Coal,India,Pakur,State Government,24.4764,87.4682,Panchwara North (CAPTIVE),OC,183,Jharkhand,0.1
Eastern Coalfields Limited,ECL,Coal,India,Pakur,Government,24.7425,87.44166667,SIIVLONG OCP,OC,184,Jharkhand,0
Northern Coalfields Limited,NCL,Coal,India, Sonbhadra,Government,24.1515,82.6929,DUDHICHUA,OC,185,Uttar Pradesh,17.68
Northern Coalfields Limited,NCL,Coal,India, Sonbhadra,Government,24.17389,82.7493,BINA,OC,186,Uttar Pradesh,7.5
Northern Coalfields Limited,NCL,Coal,India, Sonbhadra,Government,24.1709,82.7562,KAKARI,OC,187,Uttar Pradesh,2
Northern Coalfields Limited,NCL,Coal,India, Sonbhadra,Government,24.1351,82.7204,KHADIA,OC,188,Uttar Pradesh,13.18
Northern Coalfields Limited,NCL,Coal,India, Sonbhadra,Government,24.1287,82.7625,KRISHNASHILA,OC,189,Uttar Pradesh,7
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,19.906,79.3111,NANDGAON INCL,UG,190,Maharashtra,0.08
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,19.9468,79.3112,MAHAKALI,UG,191,Maharashtra,0.08
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,19.9598,79.3109,D. RAYATWARI,UG,192,Maharashtra,0.16
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,19.9132,79.3019,MANNA INCLINE,UG,193,Maharashtra,0.09
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,19.9129,79.3157,"HLC NO,1",UG,194,Maharashtra,0
Western Coalfields Limited,WCL,Coal,India,Chandrapur,Government,20.0081,79.2989,DURGAPUR,OC,195,Maharashtra,2.05
